frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,frame_signal_scores,neareast_neighbour_distances,selections
5.200000000000000000e+01,5.450414596753743979e+01,1.973716396622662117e+01,-3.548815244293588266e-03,9.612983958672739959e+01,2.953500745865110799e-01,0.000000000000000000e+00,5.770151884954147548e+00,1.000000000000000000e+00
5.300000000000000000e+01,1.162895903446020185e+02,1.220650062467418628e+01,-3.497394221833885486e-03,9.466452493269422064e+01,2.710644339344487896e-01,0.000000000000000000e+00,7.907787986379875456e+00,1.000000000000000000e+00
5.400000000000000000e+01,9.796815940043369153e+01,1.389519542526939588e+01,-3.950472471780586831e-03,1.075756295220845828e+02,2.177414572556122252e-01,0.000000000000000000e+00,6.573535784260009507e+00,1.000000000000000000e+00
5.500000000000000000e+01,3.756697927680346538e+01,1.366394166895225659e+01,-4.887236944136089285e-03,1.342700561021063379e+02,1.031938950778122921e-01,0.000000000000000000e+00,1.312519509140277307e+01,1.000000000000000000e+00
5.400000000000000000e+01,6.391146681752697845e+01,1.716156838656912242e+01,-3.140056327774254797e-03,8.448167699307425949e+01,2.265352020279584044e-01,0.000000000000000000e+00,8.514336007290260966e+00,1.000000000000000000e+00
5.500000000000000000e+01,7.230539051822289309e+01,1.858843998273145814e+01,-2.890064501021116002e-03,7.735780684022047637e+01,3.318855648059023666e-01,0.000000000000000000e+00,6.308915156084677456e+00,1.000000000000000000e+00
5.500000000000000000e+01,1.108901078982896422e+02,1.798393086220180237e+01,-3.466113504965351051e-03,9.377313672951238743e+01,2.302810401957130493e-01,0.000000000000000000e+00,7.907787986379875456e+00,1.000000000000000000e+00
5.700000000000000000e+01,1.729876752785134286e+01,8.299385074250157146e+00,-7.415613111524731009e-03,2.063197056765824016e+02,5.529657651921870976e-02,0.000000000000000000e+00,1.576959052531133842e+01,1.000000000000000000e+00
5.700000000000000000e+01,7.866172973002464630e+01,9.099171169303495788e+00,-3.512212734961869809e-03,9.508679939163627637e+01,1.956379140548579754e-01,0.000000000000000000e+00,4.986434784983524438e+00,1.000000000000000000e+00
5.700000000000000000e+01,3.309613492569102533e+01,2.600421301829905474e+01,-3.151347801844350555e-03,8.480344349302110629e+01,2.511546252943838153e-01,0.000000000000000000e+00,1.312519509140277307e+01,1.000000000000000000e+00
5.800000000000000000e+01,7.855207168535824280e+01,1.947239973454796669e+01,-3.908394715460347148e-03,1.063765644316693937e+02,2.789016978722868023e-01,0.000000000000000000e+00,6.308915156084677456e+00,1.000000000000000000e+00
5.900000000000000000e+01,1.180901083447776330e+02,2.380754849606336521e+01,-3.545109364722976927e-03,9.602423531475567131e+01,1.949825607205027955e-01,0.000000000000000000e+00,9.260374116354620710e+00,1.000000000000000000e+00
6.000000000000000000e+01,1.736607902016457317e+01,2.406883194149923355e+01,-3.238516902612801219e-03,8.728745012348056775e+01,2.054148159837289045e-01,0.000000000000000000e+00,1.176361379837004151e+01,1.000000000000000000e+00
6.100000000000000000e+01,9.813439706847839261e+01,2.297074472582140459e+01,-3.415044401774302955e-03,9.231785051203547710e+01,3.328993193805721562e-01,0.000000000000000000e+00,1.989235745426769952e+01,1.000000000000000000e+00
6.100000000000000000e+01,7.569967138291740127e+01,1.311049790907750534e+01,-3.399306160199253544e-03,9.186936709211308028e+01,2.077718030235417013e-01,0.000000000000000000e+00,4.986434784983524438e+00,1.000000000000000000e+00
6.500000000000000000e+01,2.704134050751433449e+01,1.737764932938883788e+01,-4.072811100250696599e-03,1.110618415123665415e+02,1.617311330467532393e-01,0.000000000000000000e+00,1.176361379837004151e+01,1.000000000000000000e+00
6.500000000000000000e+01,6.601902499181979067e+01,2.647879601125358562e+01,-3.356879395218866427e-03,9.066035650704151294e+01,1.881631854672322079e-01,0.000000000000000000e+00,1.650534182312247111e+01,1.000000000000000000e+00
6.800000000000000000e+01,1.040326824238225782e+02,1.718160785910302479e+01,-3.396180600439908243e-03,9.178029985271669489e+01,2.244885616997562838e-01,0.000000000000000000e+00,3.913146942144384610e+01,1.000000000000000000e+00
6.800000000000000000e+01,4.286447389760687088e+01,2.613995776222756007e+01,-3.478490456314657382e-03,9.412583543748941395e+01,2.181378887980950365e-01,0.000000000000000000e+00,1.535722388284766993e+01,1.000000000000000000e+00
6.900000000000000000e+01,3.902144418877367116e+01,1.127135163909240312e+01,-3.538832058118061147e-03,9.584535459795836232e+01,2.000704127671287802e-01,0.000000000000000000e+00,1.344655181435906677e+01,1.000000000000000000e+00
7.200000000000000000e+01,8.758602421340077271e+00,2.236077641552460449e+01,-3.228994331377088318e-03,8.701609100792232709e+01,3.889100104166808292e-01,0.000000000000000000e+00,1.262428714544932085e+01,1.000000000000000000e+00
7.300000000000000000e+01,2.557569256210013009e+01,1.297579827373962047e+01,-3.918279462232914477e-03,1.066582442506306165e+02,2.204821459201425915e-01,0.000000000000000000e+00,6.965880100626258731e+00,1.000000000000000000e+00
