frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
4.700000000000000000e+01,8.854899160008194769e+01,1.198993090968815345e+01,-3.014695125086670584e-03,9.568804643001622878e+01,2.573330239866681302e-01,1.730104637145996094e+01,0.000000000000000000e+00,1.600944432204207146e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.764541848985701478e+01,1.852898364440223133e+01,-2.529077112551220748e-03,8.014537836970782791e+01,2.477590021094413508e-01,2.024833679199218750e+01,0.000000000000000000e+00,7.828472331282151586e+00,1.000000000000000000e+00
4.900000000000000000e+01,9.447006607430513725e+01,2.691833879560533660e+01,-2.611799891995136760e-03,8.279299989266159798e+01,2.463013012692064629e-01,2.032297897338867188e+01,0.000000000000000000e+00,3.765763423923873532e+00,1.000000000000000000e+00
5.100000000000000000e+01,9.081825909956724274e+01,2.783772988987290731e+01,1.952325871647770219e-03,-6.168590434004770628e+01,4.559949664036165862e-01,2.191046905517578125e+01,0.000000000000000000e+00,3.765763423923873532e+00,1.000000000000000000e+00
5.200000000000000000e+01,6.195099853617206520e+01,1.081681173084564485e+01,-1.370089482388716327e-03,4.305087290116470200e+01,4.263796445486766062e-01,2.170898628234863281e+01,0.000000000000000000e+00,8.832644856410642120e+00,1.000000000000000000e+00
5.400000000000000000e+01,3.223511604364664151e+01,1.241706202789965374e+01,-3.417739093721845322e-03,1.085878533904274832e+02,1.702252482226218611e-01,1.875866317749023438e+01,0.000000000000000000e+00,1.261560078230647619e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.129530933664852199e+02,1.755922705699769182e+01,-2.407521516906761458e-03,7.625487549459673176e+01,3.596755051752670296e-01,2.279894256591796875e+01,0.000000000000000000e+00,1.131240916649523953e+01,1.000000000000000000e+00
5.400000000000000000e+01,4.984002900628030375e+01,1.792825570987588080e+01,-2.769719066941186015e-03,8.784735383585483248e+01,2.162404252222347445e-01,2.009888648986816406e+01,0.000000000000000000e+00,7.828472331282151586e+00,1.000000000000000000e+00
5.400000000000000000e+01,2.352899299821322288e+01,2.154705680425658798e+01,-2.441443226993758164e-03,7.734057220746674943e+01,2.178876081597551639e-01,2.143918228149414062e+01,0.000000000000000000e+00,5.527621613407616152e+00,1.000000000000000000e+00
5.300000000000000000e+01,1.321994581504106065e+02,2.190344651959838984e+01,-2.841856009902194759e-03,9.015616555697383205e+01,2.689555897790462113e-01,1.947799110412597656e+01,0.000000000000000000e+00,1.973055498801698704e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.025665766155388496e+02,1.307694293698521903e+01,-1.321104509489702192e-03,4.148306208266257045e+01,4.634900425200607632e-01,2.378251075744628906e+01,0.000000000000000000e+00,1.103695544428144260e+01,1.000000000000000000e+00
5.500000000000000000e+01,9.153006595773172194e+01,1.297785722074193338e+01,-1.716203090797259381e-03,5.412856933701684170e+01,4.036018605932540915e-01,2.232069396972656250e+01,0.000000000000000000e+00,1.103695544428144260e+01,1.000000000000000000e+00
5.700000000000000000e+01,8.217814666345749686e+01,2.818612266127089683e+01,-2.754188661669377571e-03,8.735028838986468713e+01,3.153782457030989139e-01,1.618606567382812500e+01,0.000000000000000000e+00,1.584322623997846158e+01,1.000000000000000000e+00
5.600000000000000000e+01,6.634016582276383645e+01,2.777847013648715446e+01,-2.648568355280926656e-03,8.396980965915878414e+01,2.675678682785173068e-01,2.086924171447753906e+01,0.000000000000000000e+00,1.584322623997846158e+01,1.000000000000000000e+00
5.700000000000000000e+01,2.682863385408614221e+01,2.598180267333017568e+01,-2.504724526515306020e-03,7.936595060674218871e+01,3.369780599116759534e-01,1.903425598144531250e+01,0.000000000000000000e+00,5.527621613407616152e+00,1.000000000000000000e+00
