frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
2.400000000000000000e+01,1.397559578557155078e+02,3.030802605331844291e+01,-4.190670602322202169e-03,1.333262641606659145e+02,2.025808535046812464e-01,1.911250114440917969e+01,0.000000000000000000e+00,3.635602648205936482e+00,0.000000000000000000e+00
2.600000000000000000e+01,3.320522953705571467e+01,1.455380555999293435e+01,3.745765092490943582e-03,-1.190866386134056967e+02,2.356679716895808685e-01,1.883995628356933594e+01,0.000000000000000000e+00,3.913976251483505919e+00,0.000000000000000000e+00
2.600000000000000000e+01,3.707723256828646186e+01,1.398213902842336331e+01,-3.295355691384021894e-03,1.046708557718741446e+02,3.387329463680801567e-01,1.961791229248046875e+01,0.000000000000000000e+00,3.913976251483505919e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.347406823116889427e+02,2.948771884952044076e+01,-3.335806169890408353e-03,1.059655119503442791e+02,3.133364967523681877e-01,1.695850753784179688e+01,0.000000000000000000e+00,5.081918209801674635e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.420238225090160356e+01,9.327886519852981451e+00,-3.018303165876024246e-03,9.580352521970154100e+01,1.604748547665175717e-01,2.192339134216308594e+01,0.000000000000000000e+00,7.332503093296260488e+00,0.000000000000000000e+00
2.700000000000000000e+01,3.461232504902983464e+01,2.147738312475603806e+01,-2.864290636845817205e-03,9.087420720831418919e+01,2.895464289470391916e-01,1.856800651550292969e+01,0.000000000000000000e+00,7.065114583296487893e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.775228329750496314e+01,2.964515674036656634e+01,-3.127325801239031096e-03,9.929289873708843572e+01,2.005939537257990235e-01,1.959160041809082031e+01,0.000000000000000000e+00,1.678749750753937064e+01,0.000000000000000000e+00
2.800000000000000000e+01,7.861755515927899296e+01,3.129529646868947523e+01,-6.549976064218094272e-03,2.088380876526818213e+02,1.066249507266514573e-01,1.652885055541992188e+01,0.000000000000000000e+00,1.429712761562643841e+01,0.000000000000000000e+00
2.900000000000000000e+01,8.446374524456501831e+01,9.814222902508561219e+00,-2.923523374314145138e-03,9.277000751433436676e+01,1.874827887870049725e-01,1.881717300415039062e+01,0.000000000000000000e+00,1.001598983051521863e+01,0.000000000000000000e+00
2.800000000000000000e+01,1.204811068582929181e+02,1.613658283551806960e+01,2.253781142145562088e-03,-7.133426804038641933e+01,2.184975492480273340e-01,2.411462211608886719e+01,0.000000000000000000e+00,3.576854755356495552e+00,0.000000000000000000e+00
2.800000000000000000e+01,6.650522585230544337e+01,1.914148252097668035e+01,-1.997712751625006170e-03,6.313855475986247967e+01,2.439943150449735976e-01,2.574608421325683594e+01,0.000000000000000000e+00,8.272746011109648023e+00,0.000000000000000000e+00
2.900000000000000000e+01,2.306730131106717607e+01,8.219142798297321306e+00,-2.988719808826767639e-03,9.485668163717974721e+01,2.290341350399900389e-01,1.977139091491699219e+01,0.000000000000000000e+00,5.500836827542149088e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.406018062441540621e+02,2.677218851188389337e+01,-2.980595502176665648e-03,9.459665544741093868e+01,1.592353650819215982e-01,1.980982208251953125e+01,0.000000000000000000e+00,3.635602648205936482e+00,0.000000000000000000e+00
3.000000000000000000e+01,1.108867959749779857e+02,2.020850204840015607e+01,-3.329722447980700949e-03,1.057707966231262446e+02,1.364106228363000106e-01,1.951529312133789062e+01,0.000000000000000000e+00,4.013532813824902235e+00,0.000000000000000000e+00
3.200000000000000000e+01,1.240431023502016217e+02,1.581088657128028885e+01,-1.946594621538701858e-03,6.150247020927737651e+01,2.769727434748163741e-01,2.433597564697265625e+01,0.000000000000000000e+00,3.576854755356495552e+00,0.000000000000000000e+00
3.400000000000000000e+01,3.390225523827670884e+01,8.209170465487099833e+00,-3.015100829970939790e-03,9.570103140212161463e+01,1.185673588187219352e-01,2.393888664245605469e+01,0.000000000000000000e+00,3.423236341133902627e+00,0.000000000000000000e+00
3.500000000000000000e+01,1.368166944900130488e+02,1.505106161568527945e+01,-3.362173164783536193e-03,1.068094127917320719e+02,1.190232076778569015e-01,2.294854164123535156e+01,0.000000000000000000e+00,1.056908536818586875e+01,0.000000000000000000e+00
3.500000000000000000e+01,1.179210447393899983e+02,1.603064477436414847e+01,-2.551818282038951190e-03,8.087323120779670660e+01,2.198985899571199720e-01,2.250051307678222656e+01,0.000000000000000000e+00,3.844504865822737205e+00,0.000000000000000000e+00
3.400000000000000000e+01,2.472041651067232593e+01,2.579517077708946715e+01,-1.464432312229897639e-03,4.607040522953894168e+01,4.937779983330881084e-01,2.147895050048828125e+01,0.000000000000000000e+00,7.394075821582680952e+00,0.000000000000000000e+00
3.400000000000000000e+01,4.820416229523453211e+01,2.909364922897287187e+01,-8.520063053381692064e-02,2.726127363568386954e+03,1.214127976349954618e-02,1.685803031921386719e+01,0.000000000000000000e+00,1.300730193204086760e+01,0.000000000000000000e+00
3.400000000000000000e+01,1.199857982321333907e+02,2.759660451251241042e+01,-2.729874824406210154e-03,8.657210081836026916e+01,1.557251958158868410e-01,2.219273948669433594e+01,0.000000000000000000e+00,1.172074656734547382e+01,0.000000000000000000e+00
3.600000000000000000e+01,1.319417985586954671e+02,5.673377723656081173e+00,-2.624569199893782723e-03,8.320169378149060435e+01,2.049365290582155774e-01,2.219975090026855469e+01,0.000000000000000000e+00,1.056908536818586875e+01,0.000000000000000000e+00
3.600000000000000000e+01,9.004323091425968073e+01,1.791848255804130829e+01,-3.949632491904616662e-03,1.256116093426858953e+02,1.184196323874887602e-01,1.906804466247558594e+01,0.000000000000000000e+00,6.750293494499450375e+00,0.000000000000000000e+00
3.500000000000000000e+01,1.075919000216364481e+02,2.250024948306716155e+01,-2.981397675221006491e-03,9.462232976144640872e+01,1.796036005040402284e-01,1.803903770446777344e+01,0.000000000000000000e+00,4.013532813824902235e+00,0.000000000000000000e+00
3.600000000000000000e+01,1.783090412163555882e+01,2.847975199147328595e+01,-4.397757681499186479e-03,1.399542838142649828e+02,1.637345143832444894e-01,1.794660949707031250e+01,0.000000000000000000e+00,4.407878698857811806e+00,0.000000000000000000e+00
3.700000000000000000e+01,2.834410948888623594e+01,1.870700934979805652e+01,-3.712573718203624872e-03,1.180243169949801683e+02,1.028012952484319564e-01,1.890044975280761719e+01,0.000000000000000000e+00,7.960727555927197052e+00,0.000000000000000000e+00
3.600000000000000000e+01,5.737632588445553949e+01,1.987077990083846046e+01,-3.682570255141208102e-03,1.170640275184755694e+02,2.566234120065482571e-01,2.271726036071777344e+01,0.000000000000000000e+00,8.597032877538639539e+00,0.000000000000000000e+00
3.700000000000000000e+01,1.062473919704591907e+02,8.245742776064252766e+00,-2.152850354175385190e-03,6.810388182325384321e+01,2.856530345957692951e-01,2.236774063110351562e+01,0.000000000000000000e+00,1.378025237062232833e+01,0.000000000000000000e+00
3.900000000000000000e+01,3.732542726589139903e+01,8.230154188134896742e+00,-3.073167983818661866e-03,9.755952609170259393e+01,2.619220635820692644e-01,1.819928550720214844e+01,0.000000000000000000e+00,3.423236341133902627e+00,0.000000000000000000e+00
